epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1291,1.24617,2.01057,3.59254,1.04806,0,0.02667,0.13559,0.03323,0.01358,0.03167,0.16102,0.04365,0.02397,1.61874,1.13721,3.11811,1.00065,0,0.00065,0.00065,0.00065
2,31.2589,1.45854,1.51066,2.84624,1.00804,0,0.1,0.50847,0.09433,0.0385,0.37155,0.64407,0.35618,0.16774,1.00037,1.00805,2.75701,0.90835,0,0.00127322,0.00127322,0.00127322
3,44.1152,0.98315,1.11496,2.37638,0.90529,0,0.1,0.50847,0.09433,0.0385,0.37155,0.64407,0.35618,0.16774,1.00037,1.00805,2.75701,0.90835,0,0.00185243,0.00185243,0.00185243
4,57.5371,1.18604,2.30526,2.89706,1.0406,0,0.55222,0.80474,0.61194,0.36714,0.55222,0.80474,0.61194,0.33961,1.21219,3.98872,2.6849,1.13073,0,0.001802,0.001802,0.001802
5,70.9845,1.40311,3.00954,2.74116,1.11716,0,0.56418,0.88136,0.6033,0.37391,0.56418,0.88136,0.6033,0.33456,1.17888,2.89096,2.19998,1.11805,0,0.001736,0.001736,0.001736
6,84.4403,1.3891,2.93721,2.39168,1.11669,0,0.56418,0.88136,0.6033,0.37391,0.56418,0.88136,0.6033,0.33456,1.17888,2.89096,2.19998,1.11805,0,0.00167,0.00167,0.00167
7,97.0234,1.25746,2.80645,2.50273,1.06208,0,0.55951,0.74576,0.63674,0.39245,0.55164,0.73729,0.60631,0.25357,1.07993,3.09806,1.52802,1.00487,0,0.001604,0.001604,0.001604
8,109.484,1.16177,2.71795,2.15563,1.01634,0,0.55951,0.74576,0.63674,0.39245,0.55164,0.73729,0.60631,0.25357,1.07993,3.09806,1.52802,1.00487,0,0.001538,0.001538,0.001538
9,122.509,1.08567,1.49862,2.05304,0.97678,0,0.52141,0.67797,0.60134,0.39319,0.52141,0.67797,0.60134,0.43079,1.00535,1.15342,1.59856,0.95624,0,0.001472,0.001472,0.001472
10,134.71,1.01419,1.59721,2.0178,0.95991,0,0.52676,0.70339,0.61103,0.38884,0.52676,0.70339,0.61103,0.33881,1.06979,1.66633,1.50791,0.93951,0,0.001406,0.001406,0.001406
11,147.963,1.00498,2.16657,1.75745,0.9292,0,0.52676,0.70339,0.61103,0.38884,0.52676,0.70339,0.61103,0.33881,1.06979,1.66633,1.50791,0.93951,0,0.00134,0.00134,0.00134
12,160.619,0.96684,1.31216,1.75199,0.92472,0,0.53826,0.7014,0.60026,0.42386,0.53826,0.7014,0.60142,0.47155,1.02877,0.99008,1.53064,0.96792,0,0.001274,0.001274,0.001274
13,173.088,0.92594,1.00249,1.93457,0.91665,0,0.68708,0.81875,0.79523,0.56477,0.68488,0.82203,0.79598,0.63984,0.9003,0.85733,1.18424,0.89334,0,0.001208,0.001208,0.001208
14,185.976,0.8791,0.97683,1.60669,0.90534,0,0.68708,0.81875,0.79523,0.56477,0.68488,0.82203,0.79598,0.63984,0.9003,0.85733,1.18424,0.89334,0,0.001142,0.001142,0.001142
15,198.144,0.83093,0.93478,1.62203,0.89077,0,0.72837,0.88627,0.85138,0.66948,0.72837,0.88627,0.85138,0.69238,0.807,0.82779,1.06639,0.8701,0,0.001076,0.001076,0.001076
16,211.367,0.79273,0.92748,1.54179,0.87318,0,0.72837,0.88627,0.85138,0.66948,0.72837,0.88627,0.85138,0.69238,0.807,0.82779,1.06639,0.8701,0,0.00101,0.00101,0.00101
17,224.699,0.74493,0.87398,1.4094,0.86727,0,0.75334,0.87288,0.86337,0.69885,0.75334,0.87288,0.86337,0.697,0.75943,0.85603,1.06227,0.85372,0,0.000944,0.000944,0.000944
18,237.736,0.72013,0.86882,1.37979,0.85435,0,0.7637,0.85593,0.8625,0.70902,0.7637,0.85593,0.8625,0.71337,0.71297,0.81042,1.0171,0.84005,0,0.000878,0.000878,0.000878
19,251.084,0.72317,0.88117,1.33986,0.84955,0,0.7637,0.85593,0.8625,0.70902,0.7637,0.85593,0.8625,0.71337,0.71297,0.81042,1.0171,0.84005,0,0.000812,0.000812,0.000812
20,263.849,0.68232,0.81521,1.2854,0.84318,0,0.72636,0.94482,0.89113,0.74078,0.72636,0.94482,0.89113,0.73268,0.67368,0.77758,0.93481,0.83738,0,0.000746,0.000746,0.000746
21,277.173,0.71524,0.88206,1.5899,0.84654,0,0.77229,0.86225,0.87051,0.72462,0.77229,0.86225,0.87051,0.71755,0.67032,0.76361,0.97552,0.83259,0,0.00068,0.00068,0.00068
22,288.144,0.69825,0.81434,1.45695,0.84256,0,0.77229,0.86225,0.87051,0.72462,0.77229,0.86225,0.87051,0.71755,0.67032,0.76361,0.97552,0.83259,0,0.000614,0.000614,0.000614
23,299.106,0.66795,0.77766,1.62446,0.8398,0,0.72621,0.9216,0.85332,0.71994,0.72621,0.9216,0.85332,0.68943,0.68521,0.7515,1.13947,0.83204,0,0.000548,0.000548,0.000548
24,310.117,0.71467,0.79442,1.50807,0.83939,0,0.72621,0.9216,0.85332,0.71994,0.72621,0.9216,0.85332,0.68943,0.68521,0.7515,1.13947,0.83204,0,0.000482,0.000482,0.000482
25,321.539,0.70409,0.85621,1.47289,0.84743,0,0.72455,0.89831,0.85027,0.71785,0.72455,0.89831,0.85027,0.6927,0.67715,0.75268,1.0127,0.83036,0,0.000416,0.000416,0.000416
26,333.14,0.67798,0.79413,1.40944,0.83285,0,0.7291,0.91237,0.86871,0.73556,0.7291,0.91237,0.86871,0.71045,0.65577,0.75032,0.91715,0.82826,0,0.00035,0.00035,0.00035
27,344.589,0.63262,0.76516,1.37727,0.84013,0,0.7291,0.91237,0.86871,0.73556,0.7291,0.91237,0.86871,0.71045,0.65577,0.75032,0.91715,0.82826,0,0.000284,0.000284,0.000284
28,356.129,0.64934,0.7767,1.33866,0.83124,0,0.80826,0.85593,0.89717,0.76747,0.80826,0.85593,0.89717,0.74393,0.61841,0.73824,0.87575,0.82848,0,0.000218,0.000218,0.000218
29,367.683,0.64165,0.77608,1.30792,0.8287,0,0.80829,0.88983,0.90387,0.77702,0.80829,0.88983,0.90387,0.75291,0.60915,0.73687,0.85883,0.82706,0,0.000152,0.000152,0.000152
30,379.099,0.64028,0.78019,1.28676,0.83233,0,0.80829,0.88983,0.90387,0.77702,0.80829,0.88983,0.90387,0.75291,0.60915,0.73687,0.85883,0.82706,0,8.6e-05,8.6e-05,8.6e-05
